date,route,train_type,bookings,holiday_multiplier,weekly_multiplier,yearly_growth,covid_factor,is_weekend,day_of_week,month,year,Date,Route,TrainType,Bookings,IsHoliday,IsWeekend,DayOfWeek,Month,Year
2025-08-15,Jakarta-Semarang,Ekonomi,1798.0,1.0,2.2,1.05,1.05,False,5.0,8.0,2025.0,,,,,,,,,
2025-08-15,Jakarta-Solo,Eksekutif,731.0,1.0,2.2,1.05,1.05,False,5.0,8.0,2025.0,,,,,,,,,
2025-08-15,Jakarta-Solo,Bisnis,1024.0,1.0,2.2,1.05,1.05,False,5.0,8.0,2025.0,,,,,,,,,
2025-08-15,Jakarta-Solo,Ekonomi,1170.0,1.0,2.2,1.05,1.05,False,5.0,8.0,2025.0,,,,,,,,,
2025-08-15,Surabaya-Malang,Eksekutif,637.0,1.0,2.2,1.05,1.05,False,5.0,8.0,2025.0,,,,,,,,,
2025-08-15,Surabaya-Malang,Bisnis,891.0,1.0,2.2,1.05,1.05,False,5.0,8.0,2025.0,,,,,,,,,
2025-08-15,Surabaya-Malang,Ekonomi,1018.0,1.0,2.2,1.05,1.05,False,5.0,8.0,2025.0,,,,,,,,,
2025-08-15,Bandung-Yogyakarta,Eksekutif,669.0,1.0,2.2,1.05,1.05,False,5.0,8.0,2025.0,,,,,,,,,
2025-08-15,Bandung-Yogyakarta,Bisnis,936.0,1.0,2.2,1.05,1.05,False,5.0,8.0,2025.0,,,,,,,,,
2025-08-15,Bandung-Yogyakarta,Ekonomi,1070.0,1.0,2.2,1.05,1.05,False,5.0,8.0,2025.0,,,,,,,,,
2025-08-15,Jakarta-Cirebon,Eksekutif,716.0,1.0,2.2,1.05,1.05,False,5.0,8.0,2025.0,,,,,,,,,
2025-08-15,Jakarta-Cirebon,Bisnis,1002.0,1.0,2.2,1.05,1.05,False,5.0,8.0,2025.0,,,,,,,,,
2025-08-15,Jakarta-Cirebon,Ekonomi,1145.0,1.0,2.2,1.05,1.05,False,5.0,8.0,2025.0,,,,,,,,,
2025-08-16,Jakarta-Surabaya,Eksekutif,919.0,1.0,1.4,1.05,1.05,True,6.0,8.0,2025.0,,,,,,,,,
